FInicio|Factualización|paisId|nombrePais|paisActivo
6/11/2020|6/11/2020|000|NO APLICA|true
6/11/2020|6/11/2020|ABW|ARUBA|true
6/11/2020|6/11/2020|AFG|AFGANISTÁN|true
6/11/2020|6/11/2020|AGO|ANGOLA|true
6/11/2020|6/11/2020|AIA|ANGUILA|true
6/11/2020|6/11/2020|ALA|ISLAS DE ÅLAND|true
6/11/2020|6/11/2020|ALB|ALBANIA|true
6/11/2020|6/11/2020|AND|ANDORRA|true
6/11/2020|6/11/2020|ANT|ANTILLAS HOLANDESAS|true
6/11/2020|6/11/2020|ARE|EMIRATOS ÁRABES UNIDOS|true
6/11/2020|6/11/2020|ARG|ARGENTINA|true
6/11/2020|6/11/2020|ARM|ARMENIA|true
6/11/2020|6/11/2020|ASM|SAMOA AMERICANA|true
6/11/2020|6/11/2020|ATA|ANTÁRTIDA|true
6/11/2020|6/11/2020|ATF|TERRITORIOS DEL SUR FRANCESES|true
6/11/2020|6/11/2020|ATG|ANTIGUA Y BARBUDA|true
6/11/2020|6/11/2020|AUS|AUSTRALIA|true
6/11/2020|6/11/2020|AUT|AUSTRIA|true
6/11/2020|6/11/2020|AZE|AZERBAIYÁN|true
6/11/2020|6/11/2020|BDI|BURUNDI|true
6/11/2020|6/11/2020|BEL|BÉLGICA|true
6/11/2020|6/11/2020|BEN|BENÍN|true
6/11/2020|6/11/2020|BES|BONAIRE, SAN EUSTAQUIO Y SABA|true
6/11/2020|6/11/2020|BFA|BURKINA FASO|true
6/11/2020|6/11/2020|BGD|BANGLADESH|true
6/11/2020|6/11/2020|BGR|BULGARIA|true
6/11/2020|6/11/2020|BHR|BARÉIN|true
6/11/2020|6/11/2020|BHS|BAHAMAS|true
6/11/2020|6/11/2020|BIH|BOSNIA Y HERZEGOVINA|true
6/11/2020|6/11/2020|BLM|SAN BARTOLOMÉ|true
6/11/2020|6/11/2020|BLR|BIELORRUSIA|true
6/11/2020|6/11/2020|BLZ|BELICE|true
6/11/2020|6/11/2020|BMU|BERMUDA|true
6/11/2020|6/11/2020|BOL|BOLIVIA|true
6/11/2020|6/11/2020|BRA|BRASIL|true
6/11/2020|6/11/2020|BRB|BARBADOS|true
6/11/2020|6/11/2020|BRN|BRUNEI|true
6/11/2020|6/11/2020|BTN|BUTÁN|true
6/11/2020|6/11/2020|BVT|ISLA BOUVET|true
6/11/2020|6/11/2020|BWA|BOTSUANA|true
6/11/2020|6/11/2020|CAF|REPÚBLICA DE ÁFRICA CENTRAL|true
6/11/2020|6/11/2020|CAN|CANADÁ|true
6/11/2020|6/11/2020|CCK|ISLAS COCOS|true
6/11/2020|6/11/2020|CHE|SUIZA|true
6/11/2020|6/11/2020|CHL|CHILE|true
6/11/2020|6/11/2020|CHN|CHINA|true
6/11/2020|6/11/2020|CIV|COSTA DE MARFIL|true
6/11/2020|6/11/2020|CMR|CAMERÚN|true
6/11/2020|6/11/2020|COD|REPÚBLICA DEMOCRÁTICA DEL CONGO|true
6/11/2020|6/11/2020|COG|REPÚBLICA DEL CONGO|true
6/11/2020|6/11/2020|COK|ISLAS COOK|true
6/11/2020|6/11/2020|COL|COLOMBIA|true
6/11/2020|6/11/2020|COM|COMORAS|true
6/11/2020|6/11/2020|CPV|CABO VERDE|true
6/11/2020|6/11/2020|CRI|COSTA RICA|true
6/11/2020|6/11/2020|CUB|CUBA|true
6/11/2020|6/11/2020|CUW|CURAZAO|true
6/11/2020|6/11/2020|CXR|ISLA DE PASCUA|true
6/11/2020|6/11/2020|CYM|ISLAS CAIMÁN|true
6/11/2020|6/11/2020|CYP|CHIPRE|true
6/11/2020|6/11/2020|CZE|REPÚBLICA CHECA|true
6/11/2020|6/11/2020|DEU|ALEMANIA|true
6/11/2020|6/11/2020|DJI|YIBUTI|true
6/11/2020|6/11/2020|DMA|DOMINICA|true
6/11/2020|6/11/2020|DNK|DINAMARCA|true
6/11/2020|6/11/2020|DOM|REPÚBLICA DOMINICANA|true
6/11/2020|6/11/2020|DZA|ARGELIA|true
6/11/2020|6/11/2020|ECU|ECUADOR|true
6/11/2020|6/11/2020|EGY|EGIPTO|true
6/11/2020|6/11/2020|ERI|ERITREA|true
6/11/2020|6/11/2020|ESH|SAHARA OCCIDENTAL|true
6/11/2020|6/11/2020|ESP|ESPAÑA|true
6/11/2020|6/11/2020|EST|ESTONIA|true
6/11/2020|6/11/2020|ETH|ETIOPÍA|true
6/11/2020|6/11/2020|FIN|FINLANDIA|true
6/11/2020|6/11/2020|FJI|FIJI|true
6/11/2020|6/11/2020|FLK|ISLAS MALVINAS|true
6/11/2020|6/11/2020|FRA|FRANCIA|true
6/11/2020|6/11/2020|FRO|ISLAS FAROE|true
6/11/2020|6/11/2020|FSM|MICRONESIA|true
6/11/2020|6/11/2020|GAB|GABÓN|true
6/11/2020|6/11/2020|GBR|REINO UNIDO|true
6/11/2020|6/11/2020|GEO|GEORGIA|true
6/11/2020|6/11/2020|GGY|GUERNSEY|true
6/11/2020|6/11/2020|GHA|GHANA|true
6/11/2020|6/11/2020|GIB|GIBRALTAR|true
6/11/2020|6/11/2020|GIN|GUINEA|true
6/11/2020|6/11/2020|GLP|GUADALUPE|true
6/11/2020|6/11/2020|GMB|GAMBIA|true
6/11/2020|6/11/2020|GNB|GUINEA BISSAU|true
6/11/2020|6/11/2020|GNQ|GUINEA ECUATORIAL|true
6/11/2020|6/11/2020|GRC|GRECIA|true
